group,outcome,b_treat,se_treat,mean_treat,mean_outcome
FemS,log_wage,-.0018676792616508,.00098442018,8.8402033,1.285264
FemS,aedu,-.0217315071328449,.0061508571,8.8402033,11.895637
MalS,log_wage,-.0031758395546022,.0011655386,8.9411821,1.2895234
MalS,aedu,-.0262278880289374,.0064162943,8.9411821,11.268646
