
="",="(1)",="(2)",="(3)"
="",="index1",="hstrt",="informal_prod"

="treatment",="-0.0003",="-0.0269",="0.0017"
="",="(0.0004)",="(0.0493)",="(0.0010)"

="_cons",="3.2403",="-558.8314",="-20.7389*"
="",="(3.9704)",="(356.2524)",="(11.1996)"

="N",="2456",="2460",="2456"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
