
="",="(1)",="(2)"
="",="w1",="w2"

="real_wage",="0.0102",="-0.0119"
="",="(0.0126)",="(0.0130)"

="wage_l1",="0.0103",="0.0229"
="",="(0.0133)",="(0.0212)"

="wage_f1",="-0.0177",="0.0272"
="",="(0.0114)",="(0.0174)"

="_cons",="8.2928***",="1316.5406"
="",="(2.6527)",="(1244.4017)"

="N",="312",="312"
="R-sq",="0.018",="0.569"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
