
="",="(1)",="(2)",="(3)"
="",="log_ila",="log_wage",="ila_tot"

="treatment",="-0.0021*",="-0.0032**",="-1.7039"
="",="(0.0012)",="(0.0012)",="(1.3505)"

="_cons",="-61.2961***",="-73.7280***",="-122051.8486***"
="",="(13.3736)",="(11.0531)",="(6586.1950)"

="N",="2386",="2455",="2445"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
